Filename,Start,End,Type,Surface
train.txt,928,929,ORG,"منتخب الأورغواي"
train.txt,933,933,LOC,"الأرجنتين"
train.txt,945,945,LOC,"مونتيفديو"
train.txt,948,948,LOC,"الأوروغواي"
train.txt,969,969,MIS,"بروتوكول"
train.txt,980,980,MIS,"جنو"
train.txt,982,982,MIS,"لينكس"
train.txt,985,985,MIS,"جيك"
train.txt,991,991,PER,"للألمان"
train.txt,994,994,PER,"الطليان"
train.txt,1001,1002,LOC,"مكتبة طرابلس"
train.txt,1004,1004,LOC,"لبنان"
train.txt,1018,1018,PER,"الصليبيين"
train.txt,1027,1027,PER,"بيرنابيو"
train.txt,1040,1040,PER,"إسبانيا"
train.txt,1046,1048,PER,"ألفريدو دي ستيفانو"
train.txt,1052,1053,PER,"فرانشيسكو خينتو"
train.txt,1058,1058,PER,"نيوتن"
train.txt,1059,1059,MIS,"بالميكانيكا"
train.txt,1128,1129,LOC,"الأرض المقدسة"
train.txt,1164,1170,PER,"الداعي الصغير محمد بن زيد بن الحسن"
train.txt,1175,1176,PER,"الحسن السبط"
train.txt,1178,1178,LOC,"طبرستان"
train.txt,1183,1184,PER,"بالداعي الكبير"
train.txt,1195,1195,PER,"المؤمنين"
train.txt,1197,1197,LOC,"النجف"
train.txt,1199,1202,PER,"أبي عبد الله الحسين"
train.txt,1206,1206,LOC,"كربلاء"
train.txt,1208,1208,PER,"المعتضد"
train.txt,1211,1211,PER,"العباسيين"
train.txt,1233,1233,MIS,"ألكترونات"
train.txt,1240,1240,LOC,"دمشق"
train.txt,1277,1278,LOC,"ربوة دمشق"
train.txt,1283,1284,LOC,"غوطة دمشق"
train.txt,1286,1287,LOC,"المصايف الدمشقية"
train.txt,1297,1299,LOC,"مصايف وادي بردى"
train.txt,1300,1300,LOC,"والزبداني"
train.txt,1301,1301,LOC,"وبلودان"
train.txt,1312,1313,LOC,"أسواق دمشق"
train.txt,1335,1335,LOC,"دمشق"
train.txt,1348,1351,ORG,"الاتحاد الدولي لكرة القدم"
train.txt,1352,1354,ORG,"ال ( فيفا"
train.txt,1364,1364,LOC,"دمشق"
train.txt,1373,1374,LOC,"المدن الإسلامية"
train.txt,1396,1397,LOC,"إمبراطورية إسلامية"
train.txt,1398,1399,LOC,"الدولة الأموية"
train.txt,1404,1404,LOC,"الصين"
train.txt,1408,1408,LOC,"البرانس"
train.txt,1410,1411,LOC,"المحيط الأطلسي"
train.txt,1412,1412,LOC,"والأندلس"
train.txt,1445,1445,MIS,"Enrichment"
train.txt,1451,1451,MIS,"النيوترونات"
train.txt,1469,1469,MIS,"السيكلوترون"
train.txt,1471,1471,MIS,"Cyclotron"
train.txt,1476,1477,PER,"إرنست لورانس"
train.txt,1520,1521,PER,"جول ريميه"
train.txt,1551,1552,PER,"جول ريميه"
train.txt,1558,1559,ORG,"منتخب البرازيل"
train.txt,1614,1615,LOC,"دولة أوروبية"
train.txt,1626,1626,MIS,"لينكس"
train.txt,1646,1646,MIS,"لينكس"
train.txt,1681,1681,MIS,"دبليو"
train.txt,1683,1683,MIS,"يونكس"
train.txt,1691,1691,MIS,"V"
train.txt,1697,1697,MIS,"يونكس"
train.txt,1703,1703,MIS,"X"
train.txt,1707,1707,MIS,"س"
train.txt,1722,1723,MIS,"الأرقام العربية"
train.txt,1727,1728,MIS,"الأرقام رومانية"
train.txt,1735,1736,MIS,"الأرقام الرومانية"
train.txt,1737,1738,MIS,"والحروف اللاتينية"
train.txt,1760,1760,MIS,"الفلزات"
train.txt,1764,1764,MIS,"Metals"
train.txt,1768,1768,MIS,"دبليو"
train.txt,1769,1769,MIS,"بروتوكول"
train.txt,1786,1786,MIS,"فالهيدروجين"
train.txt,1793,1793,MIS,"والديتريم"
train.txt,1794,1794,MIS,"Deuterium"
train.txt,1796,1796,MIS,"الهيدروجين"
train.txt,1812,1813,ORG,"ريال مدريد"
train.txt,1816,1816,ORG,"بلينينسيش"
train.txt,1838,1839,ORG,"ريال مدريد"
train.txt,1840,1841,PER,"سابينو بارينغا"
train.txt,1848,1851,ORG,"اتحاد كرة القدم العالمي"
train.txt,1865,1865,MIS,"XFree86"
train.txt,1868,1868,MIS,"س"
train.txt,1874,1874,MIS,"بيونكس"
train.txt,1882,1883,PER,"لويس السابع"
train.txt,1884,1885,PER,"وكونراد الثالث"
train.txt,1888,1888,LOC,"ميليساندا"
train.txt,1891,1891,LOC,"القدس"
train.txt,1932,1932,PER,"البيزنطيين"
train.txt,1942,1942,LOC,"بيزنطة"
train.txt,1945,1945,LOC,"القسطنطينية"
train.txt,1948,1949,LOC,"الإمبراطورية البيزنطية"
train.txt,1987,1988,MIS,"نظرية نيوتن"
train.txt,2000,2001,MIS,"للعصر الذهبي"
train.txt,2008,2008,PER,"المسلمين"
train.txt,2045,2047,PER,"ليوناردو دا فينشي"
train.txt,2156,2156,LOC,"إسبانيا"
train.txt,2158,2158,LOC,"أستراليا"
train.txt,2160,2160,LOC,"المكسيك"
train.txt,2162,2162,LOC,"إنجلترا"
train.txt,2165,2165,LOC,"بلجيكا"
train.txt,2167,2167,LOC,"هولندا"
train.txt,2169,2169,LOC,"لوكسمبورغ"
train.txt,2179,2180,ORG,"المنتخب البرتغالي"
train.txt,2194,2194,LOC,"للبرتغال"
train.txt,2201,2201,PER,"نيوتن"
train.txt,2233,2233,MIS,"Assembly"
train.txt,2256,2257,LOC,"تل العمارنة"
train.txt,2259,2259,LOC,"تيماشكي"
train.txt,2267,2269,LOC,"دا ماش قا"
train.txt,2277,2277,LOC,"دارميسك"
train.txt,2303,2303,LOC,"الفيحاء"
train.txt,2307,2307,LOC,"جلق"
train.txt,2311,2311,LOC,"الشام"
train.txt,2319,2319,LOC,"دمشق"
train.txt,2323,2323,LOC,"ماري"
train.txt,2329,2331,PER,"حسام الدين لاجين"
train.txt,2359,2360,PER,"العزيز بالله"
train.txt,2426,2426,PER,"قايتباى"
train.txt,2433,2435,ORG,"حفظ الآثار العربية"
train.txt,2443,2443,LOC,"روما"
train.txt,2451,2452,LOC,"جنوب فرنسا"
train.txt,2480,2481,PER,"آيكر كاسياس"
train.txt,2488,2489,ORG,"ريال مدريد"
train.txt,2539,2539,MIS,"الرصاص"
train.txt,2541,2541,MIS,"ذهب"
train.txt,2550,2550,PER,"المسلمون"
train.txt,2554,2554,PER,"الصليبيين"
train.txt,2567,2567,LOC,"أوروبا"
train.txt,2625,2626,MIS,"الحملات الصليبية"
train.txt,2678,2679,LOC,"ملعب تشيرمارتين"
train.txt,2689,2691,ORG,"نيوكاسل يونايتد الإنجليزي"
train.txt,2695,2695,LOC,"القدس"
train.txt,2705,2706,PER,"غريغوريوس الثامن"
train.txt,2710,2711,MIS,"حملة صليبية"
train.txt,2719,2719,MIS,"Assembly"
train.txt,2728,2728,MIS,"Assembler"
train.txt,2760,2760,PER,"سانتيلانا"
train.txt,2769,2770,ORG,"ريال مدريد"
train.txt,2779,2780,ORG,"قوات الصليبيين"
train.txt,2782,2782,LOC,"القسطنطينية"
train.txt,2789,2789,LOC,"البسفور"
train.txt,2791,2791,LOC,"الشام"
train.txt,2796,2796,PER,"السلاجقة"
train.txt,2803,2803,LOC,"ضورليوم"
train.txt,2808,2808,PER,"السلاجقة"
train.txt,2812,2812,PER,"الصليبيون"
train.txt,2814,2814,LOC,"أنطاكية"
train.txt,2816,2817,LOC,"شمالي الشام"
train.txt,2828,2828,LOC,"الرها"
train.txt,2840,2840,LOC,"القدس"
train.txt,2842,2843,LOC,"بيت المقدس"
train.txt,2854,2854,LOC,"قرطاجا"
train.txt,2873,2873,PER,"فيليب"
train.txt,2891,2892,PER,"شارل الأول"
train.txt,2898,2898,PER,"لويس"
train.txt,2901,2901,PER,"فيليب"
train.txt,2908,2908,LOC,"تونس"
train.txt,2918,2918,PER,"المستنصر"
train.txt,2925,2925,PER,"الصقليتيين"
train.txt,2940,2940,PER,"الصليبييون"
train.txt,2943,2943,LOC,"تونس"
train.txt,2952,2952,LOC,"اسبانيا"
train.txt,2954,2954,LOC,"البرتغال"
train.txt,2957,2957,LOC,"اسبانيا"
train.txt,2959,2959,LOC,"البرتغال"
train.txt,2966,2966,LOC,"أوروبا"
train.txt,2979,2979,MIS,"الكيمياء"
train.txt,2980,2981,MIS,"والطبيعة الذرية"
train.txt,2989,2989,PER,"فيرمي"
train.txt,3006,3008,PER,"أحمد بن طولون"
train.txt,3014,3016,PER,"أحمد بن طولون"
train.txt,3065,3065,LOC,"دمشق"
train.txt,3076,3077,ORG,"ريال مدريد"
train.txt,3135,3135,MIS,"البروتونات"
train.txt,3156,3156,PER,"برتغالي"
train.txt,3160,3160,LOC,"البرتغال"
train.txt,3170,3170,LOC,"بإنجلترا"
train.txt,3182,3183,ORG,"إليكترونك آرتس"
train.txt,3201,3202,ORG,"منتخب فرنسا"
train.txt,3205,3207,ORG,"ومنتخب الولايات المتحدة"
train.txt,3214,3214,LOC,"المكسيك"
train.txt,3219,3219,LOC,"وبلجيكا"
train.txt,3233,3233,MIS,"Bugsاحتواء"
train.txt,3239,3239,LOC,"البرتغال"
train.txt,3247,3249,MIS,"كأس العالم 2010"
train.txt,3261,3261,LOC,"مالطا"
train.txt,3289,3289,PER,"الأوروبيين"
train.txt,3300,3301,LOC,"الارض المقدسة"
train.txt,3311,3312,MIS,"الحرب الصليبية"
train.txt,3316,3317,MIS,"الحملة الصليبية"
train.txt,3329,3331,PER,"لويس التاسع عشر"
train.txt,3333,3334,PER,"لويس ممبور"
train.txt,3339,3339,LOC,"البرتغال"
train.txt,3343,3344,PER,"كريستيانو رونالدو"
train.txt,3351,3351,LOC,"البرتغال"
train.txt,3354,3354,LOC,"روسيا"
train.txt,3359,3359,PER,"مانيش"
train.txt,3360,3361,PER,"وروي كوستا"
train.txt,3369,3370,PER,"بومبي الأكبر"
train.txt,3391,3392,ORG,"ريال سرقسطة"
train.txt,3395,3396,ORG,"الفريق الكاتالوني"
train.txt,3400,3400,ORG,"إسبانيول"
train.txt,3408,3410,LOC,"لقلعة كامب نو"
train.txt,3412,3412,MIS,"الله"
train.txt,3424,3425,PER,"فان نستيلروي"
train.txt,3431,3432,PER,"وراؤل تامودو"
train.txt,3434,3434,ORG,"إسبانيول"
train.txt,3436,3436,PER,"الكاتالونيين"
train.txt,3441,3442,ORG,"ريال مدريد"
train.txt,3527,3527,MIS,"وبروتوكول"
train.txt,3529,3530,MIS,"واجهة المستخدم"
train.txt,3533,3533,MIS,"يونكس"
train.txt,3536,3536,MIS,"بيونكس"
train.txt,3540,3541,MIS,"أنظمة التشغيل"
train.txt,3579,3580,PER,"ديمتري مندليف"
train.txt,3581,3582,MIS,"Dmitri Mendeleev"
train.txt,3589,3589,LOC,"توبوليسك"
train.txt,3590,3590,LOC,"بسيبيريا"
train.txt,3600,3605,MIS,"the periodic table of the elements"
train.txt,3683,3685,MIS,"alkaline earth metals"
train.txt,3719,3721,ORG,"القوات العربية البدوية"
train.txt,3738,3739,MIS,"العصر الذهبي"
train.txt,3747,3748,LOC,"امبراطورية أسلامية"
train.txt,3751,3752,LOC,"الدولة الأموية"
train.txt,3759,3760,MIS,"نظام التشغيل"
train.txt,3761,3761,MIS,"جنو"
train.txt,3772,3772,MIS,"يونكس"
train.txt,3780,3781,MIS,"نظام التشغيل"
train.txt,3788,3788,LOC,"تركيا"
train.txt,3793,3794,PER,"لفرناندو كوتو"
train.txt,3803,3803,LOC,"كرواتيا"
train.txt,3805,3806,PER,"لويس فيغو"
train.txt,3808,3809,PER,"جواو بينتو"
train.txt,3817,3817,LOC,"البرتغال"
train.txt,3819,3819,LOC,"الدانمارك"
train.txt,3824,3824,LOC,"البرتغال"
train.txt,3828,3829,PER,"ريكاردو سابينتو"
train.txt,3859,3859,LOC,"فارس"
train.txt,3861,3864,LOC,"بلاد ما بين النهرين"
train.txt,3866,3867,LOC,"آسيا الوسطى"
train.txt,3869,3870,LOC,"شمال أفريقيا"
train.txt,3873,3873,LOC,"دمشق"
train.txt,3933,3934,PER,"لاري إليسون"
train.txt,3941,3941,MIS,"أوراكل"
train.txt,3945,3946,LOC,"جامعة الأزهر"
train.txt,3952,3952,LOC,"القاهرة"
train.txt,3977,3977,MIS,"لينكس"
train.txt,3988,3988,MIS,"جنو"
train.txt,4023,4023,PER,"مندليف"
train.txt,4058,4059,LOC,"الدول البريطانية"
train.txt,4064,4065,ORG,"الفرق البريطانية"
train.txt,4067,4067,ORG,"الفيفا"
train.txt,4079,4081,MIS,"الحرب العالمية الأولى"
train.txt,4088,4089,ORG,"منتخب الأوروغواي"
train.txt,4122,4122,LOC,"المجروالصرب"
train.txt,4123,4123,LOC,"واليونان"
train.txt,4124,4125,LOC,"وآسيا الصغري"
train.txt,4129,4131,ORG,"قوات السلاجقة الأتراك"
train.txt,4154,4154,PER,"أينشتاين"
train.txt,4172,4172,LOC,"ألمانيا"
train.txt,4203,4203,PER,"أينشتاين"
train.txt,4215,4216,MIS,"بالنظرية النسبية"
train.txt,4240,4241,LOC,"العالم الإسلامي"
train.txt,4266,4266,PER,"المسلمين"
train.txt,4268,4268,PER,"المسيحيين"
train.txt,4270,4270,PER,"اليهود"
train.txt,4281,4282,MIS,"العصور الوسطى"
train.txt,4304,4308,ORG,"الاتحاد الدولي للكيمياء والكيمياء التطبيقية"
train.txt,4310,4310,MIS,"IUPAC"
train.txt,4354,4354,MIS,"بالنيوترونات"
train.txt,4358,4358,MIS,"يو"
train.txt,4369,4369,MIS,"اليورانيوم"
train.txt,4377,4378,ORG,"ريال مدريد"
train.txt,4387,4388,ORG,"نادي برشلونة"
train.txt,4390,4392,LOC,"القلعة البيضاء البرنابيو"
train.txt,4396,4396,PER,"راؤل"
train.txt,4398,4399,PER,"فان نيستيلروي"
train.txt,4408,4408,ORG,"ريكرياتيفو"
train.txt,4427,4427,PER,"الصليبيون"
train.txt,4434,4434,LOC,"القدس"
train.txt,4456,4456,PER,"صليبي"
train.txt,4503,4503,LOC,"للبرتغال"
train.txt,4511,4511,LOC,"إسبانيا"
train.txt,4523,4523,LOC,"ليختنشتاين"
train.txt,4535,4535,LOC,"بريطانيا"
train.txt,4548,4548,LOC,"الشام"
train.txt,4551,4551,LOC,"حلب"
train.txt,4552,4552,LOC,"ودمشق"
train.txt,4555,4555,PER,"المسلمين"
train.txt,4559,4560,MIS,"الحروب الصليبية"
train.txt,4565,4566,LOC,"أوروبا الغربية"
train.txt,4578,4579,LOC,"الإمبراطوريه البيزنطيه"
train.txt,4635,4637,PER,"يوليوس لوثر ماير"
train.txt,4640,4642,PER,"ديمتري إيفانوفيتش ميندليف"
train.txt,4663,4665,LOC,"ملعب سانتياغو بيرنابيو"
train.txt,4712,4712,LOC,"آسيا"
train.txt,4714,4714,LOC,"أفريقيا"
train.txt,4716,4717,LOC,"أمريكا الشمالية"
train.txt,4727,4727,LOC,"أوقيانوسيا"
train.txt,4750,4751,LOC,"منتخب المكسيك"
train.txt,4779,4780,ORG,"منتخب المغرب"
train.txt,4793,4794,ORG,"منتخب الكاميرون"
train.txt,4811,4812,ORG,"منتخب كوستاريكا"
train.txt,4820,4821,ORG,"منتخب نيجيريا"
train.txt,4835,4836,ORG,"منتخب السعودية"
train.txt,4848,4850,ORG,"منتخب الولايات المتحدة"
train.txt,4869,4871,ORG,"منتخب كوريا الجنوبية"
train.txt,4886,4887,ORG,"منتخب السنغال"
train.txt,4900,4901,ORG,"منتخب اليابان"
train.txt,4913,4914,ORG,"منتخب أستراليا"
train.txt,4918,4919,ORG,"منتخب غانا"
train.txt,4935,4936,ORG,"منتخبات أوروبا"
train.txt,4938,4939,LOC,"أمريكا الجنوبية"
train.txt,4964,4965,LOC,"أمريكا الجنوبية"
train.txt,4967,4967,LOC,"أوروبا"
train.txt,4975,4975,MIS,"اليورانيوم"
train.txt,5021,5021,MIS,"nonmetals"
train.txt,5022,5022,MIS,"كالأكسجين"
train.txt,5023,5023,MIS,"oxygen"
train.txt,5024,5024,MIS,"والكربون"
train.txt,5025,5025,MIS,"carbon"
train.txt,5026,5026,MIS,"والنيتروجين"
train.txt,5027,5027,MIS,"nitrogen"
train.txt,5034,5034,MIS,"القصدير"
train.txt,5035,5035,MIS,"tin"
train.txt,5036,5036,MIS,"والرصاص"
train.txt,5037,5037,MIS,"lead"
train.txt,5050,5051,MIS,"a nucleus"
train.txt,5071,5071,LOC,"فرنسا"
train.txt,5081,5081,LOC,"سوريا"
train.txt,5084,5086,ORG,"حكومة فيشي الفرنسية"
train.txt,5088,5088,PER,"للألمان"
train.txt,5094,5094,MIS,"الليثيوم"
train.txt,5095,5095,MIS,"والصوديوم"
train.txt,5096,5096,MIS,"والبوتاسيوم"
train.txt,5099,5099,MIS,"الكالسيوم"
train.txt,5100,5100,MIS,"والإسترونشيوم"
train.txt,5101,5101,MIS,"والباريوم"
train.txt,5124,5127,PER,"أبي عبد الله الحسين"
train.txt,5134,5135,PER,"علي الأكبر"
train.txt,5136,5137,PER,"وعلي الأصغر"
train.txt,5217,5218,LOC,"مساجد مصر"
train.txt,5223,5224,PER,"سعاد ماهر"
train.txt,5236,5237,PER,"لعلي مبارك"
train.txt,5247,5247,LOC,"مصر"
train.txt,5248,5248,LOC,"القاهرة"
train.txt,5250,5250,PER,"السيوطي"
train.txt,5254,5255,ORG,"وزارة الثقافة"
train.txt,5258,5258,LOC,"القاهرة"
train.txt,5268,5269,ORG,"فريق سكاي"
train.txt,5273,5275,MIS,"Football Club Sky"
train.txt,5288,5288,LOC,"مونكلوا"
train.txt,5290,5290,MIS,"Moncloa"
train.txt,5293,5293,LOC,"مدريد"
train.txt,5301,5302,ORG,"المنتخب البرتغالي"
train.txt,5314,5315,ORG,"المنتخب الإنجليزي"
train.txt,5323,5324,PER,"ريتشارد ستالمن"
train.txt,5326,5326,MIS,"جنو"
train.txt,5335,5336,MIS,"نظام تشغيل"
train.txt,5434,5434,PER,"الأوروبيين"
train.txt,5486,5486,MIS,"كالحديد"
train.txt,5520,5522,MIS,"الأشعة فوق البنفسجية"
train.txt,5531,5532,LOC,"لوس الاموس"
train.txt,5547,5548,LOC,"صحراء الامجوردو"
train.txt,5560,5561,MIS,"القنبلة الذرية"
train.txt,5572,5572,MIS,"اليورانيوم"
train.txt,5581,5582,MIS,"الشعاع الكهرومغناطيسي"
train.txt,5584,5584,MIS,"الإلكترون"
train.txt,5603,5603,MIS,"س"
train.txt,5613,5613,MIS,"س"
train.txt,5619,5621,LOC,"الروضة الحسينية المطهرة"
train.txt,5625,5625,LOC,"كربلاء"
train.txt,5636,5637,PER,"بنو أسد"
train.txt,5643,5643,PER,"السجاد"
train.txt,5653,5653,PER,"الحسين"
train.txt,5673,5673,LOC,"دمشق"
train.txt,5674,5675,LOC,"بالعالم اليوناني"
train.txt,5720,5722,MIS,"بدوري أبطال أوروبا"
train.txt,5774,5775,PER,"ديمتري مندليف"
train.txt,5791,5792,PER,"هنري موزلي"
train.txt,5804,5804,MIS,"الإلكترونات"
train.txt,5821,5821,PER,"تورفالدز"
train.txt,5823,5823,MIS,"لينكس"
train.txt,5841,5841,MIS,"مينكس"
train.txt,5871,5871,MIS,"جول"
train.txt,5875,5875,MIS,"البروتوكول"
train.txt,5879,5879,MIS,"X11"
train.txt,5888,5888,MIS,"س"
train.txt,5901,5902,MIS,"إشعاع كهرومغناطيسي"
train.txt,5952,5952,ORG,"الميرينغا"
train.txt,5966,5967,ORG,"ريال بيتيس"
train.txt,5985,5985,MIS,"X"
train.txt,6001,6001,MIS,"الDRI"
train.txt,6013,6013,MIS,"framebuffer"
train.txt,6039,6040,MIS,"نظم التشغيل"
train.txt,6043,6044,MIS,"نظام التشغيل"
train.txt,6046,6047,MIS,"مايكروسوفت ويندوز"
train.txt,6051,6051,MIS,"لينوكس"
train.txt,6061,6061,PER,"نيوتن"
train.txt,6089,6089,LOC,"للبرتغال"
train.txt,6098,6098,LOC,"البرتغال"
train.txt,6100,6101,ORG,"الإتحاد السوفياتي"
train.txt,6104,6104,LOC,"البرتغال"
train.txt,6132,6133,PER,"ريكاردو بيريرا"
train.txt,6135,6136,PER,"لويس بريتو"
train.txt,6138,6139,ORG,"نادي فالنسيا"
train.txt,6141,6141,PER,"ديكو"
train.txt,6144,6145,PER,"لويس فيجو"
train.txt,6153,6153,MIS,"جنو"
train.txt,6155,6155,MIS,"لينكس"
train.txt,6179,6179,LOC,"دمشق"
train.txt,6215,6215,LOC,"بالمغافر"
train.txt,6228,6228,PER,"المادرانيون"
train.txt,6300,6303,ORG,"اتحاد كرة القدم العالمي"
train.txt,6304,6305,PER,"جول ريميه"
train.txt,6312,6312,LOC,"الأورغواي"
train.txt,6352,6352,MIS,"الأكسجين"
train.txt,6362,6362,MIS,"النيتروجين"
train.txt,6372,6372,MIS,"والكربون"
train.txt,6379,6379,MIS,"للماس"
train.txt,6385,6385,PER,"المنتصر"
train.txt,6394,6394,PER,"العباسيين"
train.txt,6401,6401,PER,"العلويين"
train.txt,6414,6414,PER,"الحسين"
train.txt,6427,6427,PER,"العلويين"
train.txt,6435,6435,PER,"الحسين"
train.txt,6441,6441,LOC,"كربلاء"
train.txt,6447,6449,PER,"موسى بن جعفر"
train.txt,6455,6464,PER,"إبراهيم المجاب بن محمد العابد بن الإمام موسى بن جعفر"
train.txt,6468,6469,PER,"محمد الأفطس"
train.txt,6471,6475,PER,"الحسين الأصغر ابن الإمام السجاد"
train.txt,6480,6483,PER,"عيسى بن زيد الشهيد"
train.txt,6500,6500,MIS,"النترونات"
train.txt,6513,6513,MIS,"البروتونات"
train.txt,6525,6525,MIS,"جنو"
train.txt,6527,6527,MIS,"لينكس"
train.txt,6537,6537,MIS,"جنو"
train.txt,6539,6539,MIS,"لينكس"
train.txt,6545,6545,MIS,"لينكس"
train.txt,6570,6570,MIS,"لينكس"
train.txt,6580,6580,MIS,"X11R6"
train.txt,6596,6597,MIS,"نظام النوافذ"
train.txt,6598,6598,MIS,"دبليو"
train.txt,6601,6602,MIS,"نظام التشغيل"
train.txt,6612,6612,PER,"للصوفيين"
train.txt,6621,6622,LOC,"شرق أفريقيا"
train.txt,6624,6624,LOC,"الأناضول"
train.txt,6628,6628,LOC,"تركيا"
train.txt,6631,6632,LOC,"جنوب آسيا"
train.txt,6634,6635,LOC,"شرق آسيا"
train.txt,6637,6639,LOC,"جنوب شرق آسيا"
train.txt,6642,6643,LOC,"الامبراطوريه الكارولانجيه"
train.txt,6655,6657,LOC,"للحدود المحلية الأوروبية"
train.txt,6660,6660,PER,"الفايكنكز"
train.txt,6663,6663,PER,"السلاف"
train.txt,6666,6666,PER,"المجر"
train.txt,6692,6692,MIS,"جنو"
train.txt,6697,6698,MIS,"نظام تشغيل"
train.txt,6700,6700,MIS,"بيونكس"
train.txt,6717,6718,MIS,"نظم التشغيل"
train.txt,6748,6748,MIS,"هيرد"
train.txt,6768,6768,MIS,"هيرد"
train.txt,6771,6771,MIS,"لينكس"
train.txt,6776,6776,MIS,"جنو"
train.txt,6790,6790,MIS,"لينكس"
train.txt,6793,6793,MIS,"جنو"
train.txt,6799,6799,MIS,"لينكس"
train.txt,6803,6803,MIS,"جنو"
train.txt,6805,6806,MIS,"نظام تشغيل"
train.txt,6821,6821,LOC,"دمشق"
train.txt,6846,6846,MIS,"إكس"
train.txt,6866,6868,ORG,"المنتخب الجنوب إفريقي"
train.txt,6872,6872,LOC,"البرتغال"
train.txt,6903,6903,LOC,"القدس"
train.txt,6924,6925,ORG,"منتخب البرتغال"
train.txt,6930,6930,LOC,"البرتغال"
train.txt,6942,6943,ORG,"الاتحاد البرتغالي"
train.txt,6952,6952,ORG,"الفيفا"
train.txt,6969,6970,LOC,"العالم الإسلامي"
train.txt,6995,6995,PER,"الهاشمي"
train.txt,7001,7001,PER,"المأمون"
train.txt,7010,7010,PER,"الهاشمي"
train.txt,7025,7025,LOC,"مكة"
train.txt,7036,7037,PER,"الظاهر بيبرس"
train.txt,7039,7039,PER,"قلاوون"
train.txt,7071,7071,LOC,"برتغال"
train.txt,7117,7117,PER,"لاجين"
train.txt,7148,7149,LOC,"مساجد القاهرة"
train.txt,7158,7158,LOC,"بمصر"
train.txt,7166,7166,PER,"كاترين"
train.txt,7167,7167,LOC,"بسيناء"
train.txt,7172,7172,PER,"شاهنشاه"
train.txt,7177,7179,PER,"الآمر بأحكام الله"
train.txt,7191,7191,LOC,"قوص"
train.txt,7196,7196,PER,"طلائع"
train.txt,7222,7222,LOC,"البرتغال"
train.txt,7226,7228,MIS,"نهائيات كأس العالم"
